"TSE number","names"
"94780","ＳＥホールディングス・アンド・インキュベーションズ | SE Holdings and Incubations | エスイーホールディングスアンドインキュベーションズカブシキカイシャ"
"78570","セキ | SEKI | セキ"
"94790","インプレスホールディングス | Impress Holdings, | インプレスホールディングス"
"78630","平賀 | HIRAGA | ヒラガ"
"78500","総合商研 | SOUGOU SHOUKEN | ソウゴウショウケン"
"78490","スターツ出版 | Starts Publishing | スターツシュッパン"
"23760","サイネックス | SCINEX | サイネックス"
"23880","ウェッジホールディングス | Wedge Holdings | ウェッジホールディングス"
"78310","ウイルコホールディングス | WellcoHoldings | ウイルコホールディングス"
"40040","レゾナック・ホールディングス | Resonac Holdings | レゾナックホールディングス"
"40050","住友化学 | SUMITOMO CHEMICAL COMPANY, LIMITED | スミトモカガク"
"40080","住友精化 | Sumitomo Seika Chemicals Company,Limited. | スミトモセイカ"
"40210","日産化学 | Nissan Chemical | ニッサンカガク"
"40220","ラサ工業 | Rasa Industries,Ltd. | ラサコウギョウ"
"40230","クレハ | KUREHA | クレハ"
"40250","多木化学 | Taki Chemical | タキカガク"
"40260","神島化学工業 | Konoshima Chemical | コウノシマカガクコウギョウ"
"40270","テイカ | TAYCA | テイカ"
"40280","石原産業 | ISHIHARA SANGYO KAISHA, LTD. | イシハラサンギョウ"
"40410","日本曹達 | Nippon Soda | ニホンソーダ"
"40420","東ソー | TOSOH | トウソー"
"40430","トクヤマ | Tokuyama | トクヤマ"
"40440","セントラル硝子 | Central Glass | セントラルガラス"
"40450","東亞合成 | TOAGOSEI | トウアゴウセイ"
"40460","大阪ソーダ | OSAKA SODA | オオサカソーダ"
"40470","関東電化工業 | KANTO DENKA KOGYO | カントウデンカコウギョウ"
"40610","デンカ | Denka Company Limited | デンカカブシキカイシャ"
"40620","イビデン | IBIDEN | イビデン"
"40630","信越化学工業 | Shin-Etsu Chemical | シンエツカガクコウギョウ"
"40640","日本カーバイド工業 | NIPPON CARBIDE INDUSTRIES CO., | ニッポンカーバイドコウギョウ"
"40780","堺化学工業 | Sakai Chemical Industry | サカイカガクコウギョウ"
